,Sym,Name,Industry,M Cap,%5d
190,ACP,AUDALIA RESOURCES LIMITED,Materials,$16M,0.0
191,AUA,AUDEARA LIMITED,Consumer Durables & Apparel,$9M,15.909090909090924
192,AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,$616M,2.900552486187845
193,AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,NaN,0.0
194,AUG,AUGUSTUS MINERALS LIMITED,Materials,$8M,24.32432432432433
195,AKN,AUKING MINING LIMITED,Materials,$2M,0.0
196,AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,$15M,20.0
197,AAM,AUMEGA METALS LTD,Materials,$25M,-7.317073170731714
198,AEE,AURA ENERGY LIMITED,Energy,$119M,-7.142857142857149
199,AKA,AUREKA LIMITED,Materials,$14M,11.538461538461528
200,AMI,AURELIA METALS LIMITED,Materials,$288M,0.0
201,AWJ,AURIC MINING LIMITED,Materials,$50M,-7.042253521126751
202,AUR,AURIS MINERALS LIMITED,Materials,$3M,0.0
203,AZJ,AURIZON HOLDINGS LIMITED,Transportation,$6B,1.2422360248447215
204,1AE,AURORA ENERGY METALS LIMITED,Materials,$8M,-2.173913043478263
205,A3D,AURORA LABS LIMITED,Capital Goods,$31M,5.333333333333338
206,AUE,AURUM RESOURCES LIMITED,Materials,$67M,4.687500000000004
207,AUN,AURUMIN LIMITED,Materials,$32M,3.3333333333333366
208,AUC,AUSGOLD LIMITED,Materials,$146M,2.4390243902439046
209,AOA,AUSMON RESOURCES LIMITED,Materials,$2M,0.0
210,AQD,AUSQUEST LIMITED,Materials,$9M,12.50000000000001
211,ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,$1B,-0.28011204481792124
212,ASB,AUSTAL LIMITED,Capital Goods,$1B,2.805280528052819
213,AUH,AUSTCHINA HOLDINGS LIMITED,Energy,$4M,0.0
214,AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,$102M,1.8518518518518534
215,ANG,AUSTIN ENGINEERING LIMITED,Capital Goods,$316M,3.030303030303033
216,AYT,AUSTIN METALS LIMITED,Materials,$5M,25.0
217,AGD,AUSTRAL GOLD LIMITED,Materials,$17M,28.571428571428562
218,AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,NaN,0.0
219,A8G,AUSTRALASIAN METALS LIMITED,Materials,$4M,1.2987012987012998
220,AYM,AUSTRALIA UNITED MINING LIMITED,Materials,$7M,0.0
221,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",$847M,1.5860328923216522e-14
222,AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",$16M,1.6136962567226113e-14
223,ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,$3M,-14.285714285714297
224,ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,$696M,0.5730659025787971
225,ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,$4M,-6.060606060606066
226,AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",$45M,22.641509433962273
227,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,$606M,0.9596928982725493
228,AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,$409M,-0.16339869281045402
229,AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,$9B,0.0
230,AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,$41M,0.0
231,AUZ,AUSTRALIAN MINES LIMITED,Materials,$14M,-5.000000000000004
232,AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy,$2M,-20.0
233,AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials,$70M,9.374999999999995
234,AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,$16M,0.0
235,ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,$6M,0.0
236,ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,$89M,6.382978723404261
237,AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,$1B,0.28790786948177677
238,AOF,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs),$177M,0.4651162790697782
239,AVL,AUSTRALIAN VANADIUM LIMITED,Materials,$104M,16.666666666666668
240,AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",$44M,-5.172413793103434
241,ATS,AUSTRALIS OIL & GAS LIMITED,Energy,$10M,0.0
242,ABA,AUSWIDE BANK LTD,Banks,$256M,3.4557235421166337
243,ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,$354M,0.5730659025787971
244,AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,$38M,-3.8461538461538494
245,AVD,AVADA GROUP LIMITED,Commercial & Professional Services,$41M,0.0
246,AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,33.333333333333336
247,AEV,AVENIRA LIMITED,Materials,$25M,0.0
248,AVW,AVIRA RESOURCES LTD,Materials,$3M,0.0
249,AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",$519M,18.37837837837837
250,AVJ,AVJENNINGS LIMITED,Consumer Durables & Apparel,$352M,0.8000000000000007
251,AXL,AXEL REE LIMITED,Materials,$13M,4.2253521126760605
252,AXI,AXIOM PROPERTIES LIMITED,Real Estate Management & Development,$17M,0.0
253,AXP,AXP ENERGY LIMITED,Energy,$12M,33.333333333333336
254,BBN,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,$235M,0.8771929824561476
255,BPP,BABYLON PUMP & POWER LIMITED,Capital Goods,$12M,0.0
256,BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services,$179M,0.41322314049587733
257,BMR,BALLYMORE RESOURCES LIMITED,Materials,$22M,-3.8461538461538494
258,BOQ,BANK OF QUEENSLAND LIMITED.,Banks,$4B,-0.4464285714285619
259,BMN,BANNERMAN ENERGY LTD,Energy,$500M,4.08921933085503
260,BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,$2B,4.464285714285698
261,BGD,BARTON GOLD HOLDINGS LIMITED,Materials,$54M,4.1666666666666705
262,BSN,BASIN ENERGY LIMITED,Energy,$2M,-11.111111111111104
263,BAS,BASS OIL LIMITED,Energy,$17M,-5.263157894736847
264,BMO,BASTION MINERALS LIMITED,Materials,$3M,0.0
265,BRL,BATHURST RESOURCES LIMITED.,Materials,$143M,-3.8961038961038996
266,BM8,BATTERY AGE MINERALS LTD,Materials,$10M,9.999999999999995
267,BMH,BAUMART HOLDINGS LIMITED,Capital Goods,$12M,0.0
268,BMM,BAYAN MINING AND MINERALS LIMITED,Materials,$4M,0.0
269,BDX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$35M,5.555555555555561
270,BCI,BCI MINERALS LIMITED,Materials,$765M,0.0
271,BPT,BEACH ENERGY LIMITED,Energy,$3B,2.631578947368415
272,BLX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,$713M,-1.5873015873015817
273,BCN,BEACON MINERALS LIMITED,Materials,$93M,4.545454545454549
274,BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment,$6M,-7.142857142857149
275,BMT,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services,$81M,1.8181818181818197
276,B4P,BEFOREPAY GROUP LIMITED,Financial Services,$69M,-7.988165680473373
